,0,1,2,3,4,5,6,7,8,9
0,#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,double
1,#group,false,false,true,true,true,true,true,true,false
2,#default,_result,,,,,,,,
3,,result,table,_start,_stop,_field,_measurement,sensor,target,_value
4,,,0,2023-02-05T09:35:26.81312661Z,2023-02-06T09:35:26.81312661Z,power,power_consumption,sensor,cpu-025,0.003853445176971323
5,,,1,2023-02-05T09:35:26.81312661Z,2023-02-06T09:35:26.81312661Z,power,power_consumption,sensor,cpu-075,0.0010697016226772116
6,,,2,2023-02-05T09:35:26.81312661Z,2023-02-06T09:35:26.81312661Z,power,power_consumption,sensor,cpu-io-rndrd-2G-128,0
7,,,3,2023-02-05T09:35:26.81312661Z,2023-02-06T09:35:26.81312661Z,power,power_consumption,sensor,cpu-io-rndrd-3G-128,0
8,,,4,2023-02-05T09:35:26.81312661Z,2023-02-06T09:35:26.81312661Z,power,power_consumption,sensor,cpu-io-rndrd-4G-128,0.010340944659695641
9,,,5,2023-02-05T09:35:26.81312661Z,2023-02-06T09:35:26.81312661Z,power,power_consumption,sensor,cpu-io-rndrd-500M-128,0.0003757525830444267
10,,,6,2023-02-05T09:35:26.81312661Z,2023-02-06T09:35:26.81312661Z,power,power_consumption,sensor,cpu-performance-20000-2,0.006418931829985431
11,,,7,2023-02-05T09:35:26.81312661Z,2023-02-06T09:35:26.81312661Z,power,power_consumption,sensor,cpu-performance-40-rate,0.0023218826240451913
12,,,8,2023-02-05T09:35:26.81312661Z,2023-02-06T09:35:26.81312661Z,power,power_consumption,sensor,cpu-seq1,0.022949738893058663
13,,,9,2023-02-05T09:35:26.81312661Z,2023-02-06T09:35:26.81312661Z,power,power_consumption,sensor,cpu-seq3,0.001791093355383741
14,,,10,2023-02-05T09:35:26.81312661Z,2023-02-06T09:35:26.81312661Z,power,power_consumption,sensor,global,0.797191557220486
15,,,11,2023-02-05T09:35:26.81312661Z,2023-02-06T09:35:26.81312661Z,power,power_consumption,sensor,host_sensors-power-api-hwpc-1,0.025233118210567482
16,,,12,2023-02-05T09:35:26.81312661Z,2023-02-06T09:35:26.81312661Z,power,power_consumption,sensor,host_sensors-power-api-smartwatts-1,0.5575538755237557
17,,,13,2023-02-05T09:35:26.81312661Z,2023-02-06T09:35:26.81312661Z,power,power_consumption,sensor,influx,0.0495660746828961
18,,,14,2023-02-05T09:35:26.81312661Z,2023-02-06T09:35:26.81312661Z,power,power_consumption,sensor,mongo,0.07875366346293619
19,,,15,2023-02-05T09:35:26.81312661Z,2023-02-06T09:35:26.81312661Z,power,power_consumption,sensor,rapl,1.234726484205458
